,n,density,log act,log est,error,time
0,50,0.2,102.17128454390685,103.77644064357644,3.9786367056300893,5.780091047286987
1,100,0.1,209.94362861427265,210.73408889888964,1.2044108491797827,39.32451558113098
2,200,0.05,426.8958362403299,428.3227659344454,3.165888982897936,287.9493181705475
3,400,0.025,854.051852805866,853.8021596841029,-0.22096018324217093,3301.3815689086914
4,30,0.3333333333333333,63.46138212701369,65.40967790539653,6.0167193404376835,2.1351847648620605
5,50,0.2,111.25295540030254,111.48762636008725,0.2644926313460254,8.277653694152832
6,70,0.14285714285714285,151.84060091813456,151.1859371342579,-0.4803832632538787,16.725961446762085
7,90,0.1111111111111111,188.63784637897874,188.76345849724365,0.13384228626412642,28.666480541229248
8,110,0.09090909090909091,234.63896910829024,237.21524993052327,12.148146817055254,45.15583038330078
9,130,0.07692307692307693,280.2969974647254,277.41843141832106,-0.9437846847804696,91.69201278686523
10,150,0.06666666666666667,315.08995755071413,316.90676681664945,5.15219707467562,125.19620823860168
11,170,0.058823529411764705,365.6376291585333,364.67788323854353,-0.6170098162363093,193.85968780517578
12,190,0.05263157894736842,401.63818185407354,400.7373799269601,-0.5937562487981342,284.62854743003845
13,210,0.047619047619047616,454.1640942859571,453.5699659078454,-0.4479564705482443,617.4827604293823
14,230,0.043478260869565216,488.21515074453015,490.20476451645305,6.31270884333825,754.8708071708679
15,250,0.04,539.0103207830186,544.97890668943,389.9524363457677,641.7994408607483
16,270,0.037037037037037035,586.8831681750123,590.2985388466558,29.428226218063042,780.5328588485718
17,290,0.034482758620689655,621.8683427806687,625.7383871879329,46.94451511829237,880.1133630275726
18,310,0.03225806451612903,644.971779324864,648.1209663991937,22.317101803709306,940.6866164207458
19,330,0.030303030303030304,723.9780377283373,725.0252561521862,1.8497133886823347,1282.9390623569489
20,350,0.02857142857142857,758.4635536487202,756.2333424081058,-0.8924942818369204,1985.8855576515198
