,n,density,edges,min deg,max deg,avg deg,nst1,nst2,hit rate,K
50,90,0.3,1202,15,37,26.711111111111112,19468858216795239851230338083261150995264662133004534659863673954905196901576152750015012297570311866188088571876518928580608,18208707967135522800383179463050623938333751138175801907870953710234097238273630907454241741780466255422329787589671755186176,0.9955555555555556,15529.8
51,90,0.3,1241,17,38,27.577777777777783,490229963383493695158229875098954204741630889893692323919353993834677014091935817991797409927755961197310315127982830901002240,450421906837361044061894290020303557453747547398480761861830020978893435201708488399175710065349487791418696961882039359897600,0.9977777777777778,13890.3
52,90,0.3,1179,17,35,26.2,4917061234126079712179731423808451074192842096000997561148273912374628107596619545830183147067542945377272020556581248696320,4551881228444596224994718799705550316308673752651266744463324962212378376467253303477281570686655396435892024211612486336512,0.9955555555555556,5892.1
53,90,0.3,1201,13,36,26.68888888888889,18373745516269129665299587467988079770648140373506885179289879812385559704164553773316994180684624565226332986748324626300928,17176351704522805073750968230475444094545697070693387762963055942127346039437417769427884977192370916091240924478548727562240,0.9955555555555556,19205.1
54,90,0.3,1201,17,35,26.68888888888889,27716207269144232454193417325709160493473766925653216352904304511183212808909203028214677861403034107741425621925437229760512,25785311697280689041576783238235106141358021805901586421887974150644451529258717542104409003176143619003419846126216211857408,1.0,13934.4
55,90,0.3,1181,16,37,26.244444444444447,6311002458621363086084935197832695956162269381176207651078810600247848519319143089213877010172393165137226532785685826371584,5846977552788074892610272501835056173642565985962245274155586002415955818244445563533884277173955289428093588895767174578176,0.9955555555555556,15191.2
56,90,0.3,1260,15,40,28.0,1969887592329825336722910358490386771674147394459661453163120644815502399558564002053716426010514123452324278273849100056133632,1859853593604721169536634485058428110135538821886396092634100293191166755007680662805741461492238212832602863733122494703337472,1.0,29158.5
57,90,0.3,1123,16,36,24.95555555555556,45217133232002217815513818462734878082181277802890000171572668401229421175132736983278327898439739039396667012338279251968,41101304397289834965580565782009279647191310820624027637128654027353758870022831931039150403755929930340197217264816095232,0.9888888888888888,31951.7
58,90,0.3,1202,17,36,26.711111111111112,33255188480827162116478941016160377614812534438378446843717792519433956864517617718212550338130277212887935124601091833987072,30968736975678014496948173305729494080025287142998092566450619856958633564574401991885417446460028391358122569824287479300096,0.9977777777777778,13735.0
59,90,0.3,1226,19,36,27.244444444444447,216429192938227004571278797216107254938106434409567462054049375077719885835347547512485310264212508320407621603940345550209024,202776443920468809776573079192313387918604580431861067485121588588909383341647317449410404838117609843144073747583277635469312,0.9977777777777778,7155.6
60,100,0.2,1043,10,32,20.86,21302261004739214195383184075540639069464809974750409128435721278753723747004503105239664936602652771060628417018977805871874048,19570885488433247560642104548331429456703655941767503890032570429858048397391655190254656919017360864735368310600257134703673344,0.996,17591.1
61,100,0.2,1050,9,34,21.0,41467694618026504138153830976215600584926457843858643320352427941953553753724960380131622520545974734754788218042171095487873024,37187909309061834403581729828614883984897769670511845618392410950100174076505077930113036796412954349402756213502834390041886720,0.998,2241.1
62,100,0.2,1011,9,38,20.22,703888324125372888303732094294208288124199155718095686678947606036804918033174270158486922915145105374665040699566188404932608,622823873542435819933299533039125944484083471588037793799219746798102362350094249580649539451697729285033663219715016199503872,0.9940000000000001,26051.9
63,100,0.2,970,12,29,19.4,14530501771575505500753466179056308477485758520709083239344515860706410880765800720070993106486818368339084313940157848879104,13321503617876494616076492032444550712313316062566662253506798949353617405344118850397216890330572374041012160261419318640640,0.998,18530.8
64,100,0.2,981,11,30,19.62,44665544768195470733928874626602441320400496675510106454325242460277950899219412699238163925722395310284863095027655977730048,39370770672077245302437831603785465657094788391745223191330703683498292190421862487754474542163597465597326660849555851968512,0.994,13493.3
65,100,0.2,962,10,29,19.24,5157767187720182439365521903462765875409201926057894641194378168025934240663697867161095402324215109458668410987849489317888,4689875102785510100448495757506698209992725049477493413299690512136482338097046382305758907918289236135368922490552692244480,0.996,26022.2
66,100,0.2,1014,11,31,20.28,1204801825258397551672351451945137457982970532533853047195358515637664835882852394397286302565531479137443848904929436961341440,1094309341821347669418098354750242113406795229897617008228929209808069715485580785159896260734049631469543750993475543890919424,1.0,6036.6
67,100,0.2,1030,10,28,20.6,7876943692801469155757164450339080415681487634356692152227818973217695205090044667054298008303370218914149118778429877363146752,7215348584066690933054424893776164771791575455454211683148943946749058952157713804584276116219380523047324074449980701347414016,0.994,15814.7
68,100,0.2,999,10,35,19.98,180391375526264747584818953399567324146152507093630705282325171113736711666503025756251517775881616524129240288446627077685248,164634799292595194571754849352557357654155354220705479828953690370958158902210588886718730547458061908234690555452909802225664,0.998,13495.8
69,100,0.2,980,11,27,19.6,61969711715366724134462778636325887950028291519726601866209599148327025081036174206192262507037898725474730997968080168026112,55943486475417537125232020384775487800871671234753678179083128937737814886089750464403110610626749267463924242947694080819200,0.998,12631.5
70,100,0.3,1474,17,39,29.48,88623674641252611471528324690543861789365474516155966795748686271393967793467513729640373291097225389219208152031138542247397106630353917837312,83297805270082294390805531190229386478349412282482697954735335149959092981137075345529417673013193100177628288067674948647970050853032681275392,0.996,8608.0
71,100,0.3,1469,18,39,29.38,48607972537948587209079020178101839059900166186276826439435686101647926064523451583426536197994729896576320616620245309900645398099317040873472,44897487334351630908280377770657064212003429426877457644680587719507106207433935113626000446765054620839578173247027759784111650449939475988480,0.998,7638.6
72,100,0.3,1432,19,41,28.64,4723145167139617653081778169504615434495733516478864410335938166603351603762220182850594635064412377951942441639543140015130953743569046732800,4431169083308825576006584660760788099133589332405240692717989913411102553839100556623612302134050275321596880788779510699854288322181136908288,0.996,13853.5
73,100,0.3,1506,19,44,30.12,584717268311716476778218043683674484632690366154402033849567457167780014503143760893162842663388790810247553158381095731474505345256798057136128,541121747743145984267516906974265327066783568977932188306934926212781523019779144780527597567556166859274336440709528009744072190096203887673344,0.996,3390.6
74,100,0.3,1494,20,41,29.88,324043954820205457664078350507444963382392513643589778177348366864262613953044701519119364101404822829220918960338617280599658014710795977359360,306155448844498099347062248153249820044312754532850036476583885779223934728298762969292037877761202837098789635758614459510262555210583715610624,0.996,12528.4
75,100,0.3,1512,20,43,30.24,1099293807643935965780373703644010626048810456509210901466708917382638859758023410795115075866970957338180296335964781370792495473379909887328256,1028035326788222048349437200867492331916694788159933167803652433921785738412031815674413876568292012166681853503195912548835117049153613488717824,1.0,8037.4
76,100,0.3,1489,18,41,29.78,153011905013901871938938387348082010052969379773339258174740784744303739959420913301977355945730567349987231018422604024965452875888727917854720,141070060153028599410212491534322914751857064490825764236104148013643918543643349216202191895466731337223521139023762967987028039507690047668224,0.998,6184.9
77,100,0.3,1487,21,45,29.74,181530839604297387924048428675133304592728890741946459561773963024377651550744394937808957061989449807492724968725815063775262983975243394056192,168978237583366207915172696311207585484972869767843353257270899208656892570615044271911903112012027757056821677326181503588825552230296351408128,0.998,23549.1
78,100,0.3,1448,17,45,28.96,10487675759966936074016022704749822857221231483273308160700722242195282354669789912403393674102395552965896924277898299271708202737223694548992,9836628556765238903067035092065383236783727516482487092292589016566968414119549707178707700882818783174206925016839340376804304360534439886848,0.998,2806.1
79,100,0.3,1426,18,41,28.52,2388528956461539610920705983872549938145519168100226720225380822879970509184721348080301308148324351656615209102090953317426062156566429171712,2201972520316127837355273793037459587490764022576706499434036569966591256533067574382762109328798144901536670933910796276841498371454505320448,0.998,4920.3
