,n,density,log act,log est,error,time
0,30,0.3333333333333333,62.71154110008164,62.87242649065813,0.17455034656142532,10.345687627792358
1,50,0.2,100.44838424558452,101.04381391773735,0.813810121252619,43.763078689575195
2,70,0.14285714285714285,146.62536896854945,147.01110422205136,0.4706952578498791,141.77639317512512
3,90,0.1111111111111111,192.39823261051038,193.1556594082821,1.1327810764521407,373.99207735061646
4,110,0.09090909090909091,233.73493288908912,233.88604982359288,0.16313266047044017,537.5486752986908
5,130,0.07692307692307693,274.6580236126774,275.1213755011694,0.5893925329655028,824.4784882068634
6,150,0.06666666666666667,318.8699272787196,321.24368409152765,9.737655968663946,1302.7601554393768
7,170,0.058823529411764705,363.956291540366,365.56552133837374,3.998959536139682,1990.5686724185944
8,190,0.05263157894736842,405.12148888710635,405.2266450176962,0.1108840397969495,2957.847582101822
