,n,density,m,min deg,max deg,avg deg,nst1,nst2,hit rate,K,time
55,140,0.07142857142857142,715,2,20,10.214285714285714,8324173402061459902258983748511325596987255312303521876605987283124074526028655500655954183585707271741987549100716708478558876467200,6968365777492756606007719613530029568955662288058235290073293713635299629582254728665480781436802084510544848143393190015429951619072,0.9885714285714287,2376,2.829885244369507
56,30,0.3333333333333333,121,4,14,8.066666666666666,1278553994074841877053440,1003215733386702242185216,0.9800000000000001,483,0.23357319831848145
57,40,0.25,205,5,16,10.25,13857794317131154293121581248417890304,11588786424739614860339479906801942528,0.99,739,0.3884439468383789
58,50,0.2,256,5,17,10.24,39595072234126341449419314796684463974704480256,31201261080289946625663263808601449520957489152,0.9960000000000001,1434,0.7019903659820557
59,60,0.16666666666666666,321,3,19,10.7,1826786221942473219005519201721238672781335879957096693760,1491562820879489895838448992945878792771194415489405157376,0.99,17906,7.5490264892578125
60,70,0.14285714285714285,363,6,16,10.371428571428572,1964311912846744371289435816846390338025698382346574845215087001600,1613952931302191230539773781722395736154735489164638725579135254528,0.9942857142857143,656,0.37805747985839844
61,80,0.125,437,5,20,10.925,229625532151373125616593658122793010112264346333665725505775038476186315390976,176305442894890638708406882318084991253615359490202751315917183690466710781952,0.9875,100000,57.315969705581665
62,90,0.1111111111111111,455,5,17,10.11111111111111,1540492679464454028141021803273545081026575084490337696139646946693453638830781366272,1200515899214161848882198320177934615652161785476629577776361890261365376968856436736,0.9866666666666667,1885,1.3418796062469482
63,100,0.1,485,2,17,9.7,30114345371358041069712177547835929746733776857881949212696482139308085771255231041943633920,24228958534447645757848763901386087014254613581655928752703158201896755904082267084242812928,0.9879999999999999,614,0.5737285614013672
64,110,0.09090909090909091,560,4,18,10.181818181818182,61954627708163007366802461569859445167580882364751569672880431988834520894167284715568306422802620088320,51136106514771597095395453816884498310034941323652975870325249726784784932353581194991448626982115344384,0.9872727272727273,71261,69.30666899681091
65,120,0.08333333333333333,585,4,16,9.75,1438360949912849893387574137516697275654956042301794729034481668829092731176458331204568343998853752608299941888,1204299947283192867863222708528267581143452797270611179545819021717976811284640914602696153667876377601471676416,0.9966666666666667,3933,3.9782872200012207
66,130,0.07692307692307693,650,5,19,10.0,215465214085952456021667325280048790170250292235143821297344271739140888733133568645354317250245001190911972319950597521408,170946090844645370420827336332963005527387450795586010728745632890972900668340211954968677106890002756925060166360368152576,0.9938461538461538,6921,7.209069490432739
67,140,0.07142857142857142,685,4,23,9.785714285714286,2873655347605205278024332404351525690511623659069187161392104948883501720316078771459138419226469381108559032169579961060387979264,2055400992207398099266636342214771806326561432744750465222560776374083055259656257665771369235321084470639061030478792502475227136,0.9985714285714286,2785,3.5165140628814697
68,30,0.3333333333333333,127,3,13,8.466666666666667,7846976388338124423430144,6082038005323891436683264,0.9733333333333334,916,0.2623100280761719
69,40,0.25,212,4,16,10.6,28602065911843498740036247359527583744,24126616694839537562794302098909429760,0.9800000000000001,5055,1.558157205581665
70,50,0.2,242,3,16,9.68,1120663873767604257177531574701276881431298048,924364330109692716416531968097444960101466112,0.976,10436,4.342641830444336
71,60,0.16666666666666666,304,5,20,10.133333333333333,55699841119959080068070330494089272216751864841834070016,45350506162821117517283681447138670343512081021928472576,0.9866666666666667,1114,0.5289595127105713
72,70,0.14285714285714285,366,4,19,10.457142857142857,2589429975183345574142326260249930699123261999013832616928488718336,2090723880663198131241715845569711582153032247874557351508383367168,0.9800000000000001,100000,51.336023569107056
73,80,0.125,393,3,17,9.825,44678801168841564126343951933909214583996522270184023628056036040863907840,36150255364059736514382935800577004099103839736297388120460897869371539456,0.99,7722,5.891942977905273
74,90,0.1111111111111111,425,3,17,9.444444444444445,3272757882527846960252734347580387904663431906764770515524191353629274884181852160,2713870474232282633551333548571820148121228770202066741069145454497150305495416832,0.9888888888888889,1341,1.0822153091430664
